img,x1,y1,x2,y2,category
13491,0,64,292,198,97
13492,30,82,440,335,97
13493,23,0,203,291,97
13494,66,3,343,259,97
13495,20,63,478,255,97
13496,60,131,771,521,97
13497,105,123,478,283,97
13498,39,50,286,430,97
13499,72,136,534,370,97
13500,36,49,496,326,97
13501,9,73,636,397,97
13502,212,93,414,294,97
13503,52,101,481,261,97
13504,40,80,486,356,97
13505,3,69,342,506,97
13506,45,26,421,271,97
13507,90,0,400,209,97
13507,0,39,320,300,97
13508,161,29,461,498,97
13509,0,53,421,297,97
13510,53,0,382,127,97
13511,8,160,781,548,97
13511,193,48,775,336,97
13513,70,40,400,294,97
13514,86,27,337,430,97
13515,0,1,303,260,97
13515,51,37,417,315,97
13516,0,37,360,276,97
13516,52,0,400,225,97
13517,149,0,647,528,97
13518,0,14,360,427,97
13519,28,74,375,260,97
13520,27,84,248,237,97
13521,0,1,612,325,97
13522,48,0,774,600,97
13523,105,31,327,263,97
13523,12,13,222,184,97
13524,1,41,625,437,97
13525,8,40,334,161,97
13526,43,93,428,261,97
13527,42,81,285,238,97
13528,41,78,293,301,97
13529,0,0,800,600,97
13530,13,44,422,293,97
13531,0,40,636,423,97
13532,24,60,339,250,97
13533,4,60,195,141,97
13534,28,88,434,269,97
13535,15,51,537,349,97
13536,76,36,389,284,97
13537,63,35,297,171,97
13537,124,140,352,258,97
13537,1,9,161,85,97
13538,22,22,339,169,97
13539,56,8,427,387,97
13540,42,20,177,149,97
13541,7,17,441,338,97
13542,180,41,628,480,97
13543,12,20,335,302,97
13544,4,108,440,298,97
13545,37,79,286,246,97
13546,10,76,473,430,97
13547,4,36,364,275,97
13548,77,0,401,351,97
13549,99,1,350,274,97
13550,0,162,480,381,97
13551,4,77,188,403,97
13552,134,41,639,498,97
13553,39,115,285,395,97
13554,0,85,331,372,97
13555,33,54,394,271,97
13556,4,56,238,298,97
13557,47,7,326,263,97
13558,3,62,432,278,97
13559,274,37,800,571,97
13559,104,0,512,382,97
13560,7,60,353,317,97
13561,0,16,309,395,97
13562,21,77,468,321,97
13563,43,204,755,494,97
13564,70,37,425,292,97
13565,49,0,282,283,97
13566,40,82,471,258,97
13567,220,56,500,355,97
13568,3,55,297,190,97
13647,16,150,794,463,97
13715,214,193,580,379,97
13717,0,57,542,320,97
13725,68,164,564,363,97
13959,82,92,222,210,97
13959,114,140,256,236,97
14028,355,175,630,553,97
14066,345,135,665,320,97
14333,16,130,488,485,97
14950,90,166,522,376,97
14951,0,135,776,533,97
14952,132,34,450,446,97
14952,0,80,399,517,97
14953,14,47,385,216,97
14954,0,306,600,800,97
14954,0,100,555,491,97
14955,0,2,320,387,97
14956,21,120,788,555,97
14957,5,14,383,498,97
14958,0,25,497,345,97
14959,31,145,800,453,97
14960,8,86,783,493,97
14961,8,151,800,565,97
14961,201,51,775,350,97
14962,16,81,355,309,97
14963,0,11,443,335,97
14964,50,8,574,472,97
14968,36,98,604,386,97
15647,42,58,345,602,97
83,345,104,484,264,40
88,381,121,765,333,40
3893,23,0,415,257,40
3894,21,72,600,450,40
3895,0,93,600,373,40
3896,97,106,566,354,40
3897,88,99,673,594,40
3898,0,78,600,345,40
3899,0,93,600,333,40
3900,16,79,663,448,40
3901,8,80,333,205,40
3902,0,123,616,424,40
3903,0,79,600,373,40
3904,193,213,727,554,40
3905,86,15,435,265,40
3906,0,40,480,258,40
3907,40,90,212,150,40
3908,0,24,361,375,40
3909,0,74,500,285,40
3910,228,106,640,416,40
3911,0,88,444,308,40
3912,158,105,373,241,40
3913,38,84,497,451,40
3914,58,61,600,382,40
3915,27,52,475,320,40
3916,21,73,786,557,40
3917,61,153,465,345,40
3918,81,183,415,348,40
3919,142,24,463,333,40
3920,0,82,491,296,40
3921,76,46,500,346,40
3922,87,60,475,338,40
3923,128,110,391,235,40
3924,49,13,363,290,40
3925,62,135,431,323,40
3926,157,48,483,296,40
3927,98,125,291,312,40
3928,20,58,481,228,40
3929,61,70,270,495,40
3930,61,160,253,387,40
3931,72,63,430,292,40
3932,70,17,276,285,40
3933,5,14,480,304,40
3934,97,129,500,318,40
3935,38,172,343,314,40
3936,135,181,366,311,40
3937,93,84,323,262,40
3938,0,9,380,365,40
3939,142,148,477,321,40
3940,127,175,376,286,40
3941,0,103,500,359,40
3942,5,83,330,318,40
3943,195,105,486,305,40
3944,65,67,436,211,40
3945,8,70,252,208,40
3946,0,82,800,520,40
3947,0,234,611,600,40
3948,0,58,573,432,40
3949,414,0,631,390,40
3950,52,88,767,335,40
3951,80,292,565,476,40
3952,0,66,435,291,40
3953,0,78,384,280,40
3954,0,100,450,279,40
3955,0,93,384,422,40
3956,20,94,302,206,40
3957,110,95,547,287,40
3958,0,109,406,296,40
3959,126,171,420,307,40
3960,15,0,690,591,40
3961,71,235,702,574,40
3962,92,65,432,272,40
3963,318,185,800,600,40
3964,17,38,279,300,40
3965,38,94,452,271,40
3966,0,18,460,363,40
3967,0,166,360,444,40
3968,2,29,395,257,40
3969,40,114,353,238,40
3970,42,43,459,360,40
3971,178,0,525,378,40
3972,0,140,640,366,40
3973,112,58,582,278,40
3974,0,112,640,396,40
3975,30,66,392,239,40
3976,24,66,381,248,40
3977,45,105,588,428,40
3978,30,102,600,285,40
3979,0,153,408,314,40
3980,34,132,499,352,40
3981,36,102,205,218,40
3982,0,104,301,272,40
3983,92,64,580,324,40
3984,141,206,537,348,40
3985,108,261,660,489,40
3986,0,117,606,479,40
3987,121,122,549,312,40
3988,0,31,450,320,40
3989,22,27,442,281,40
3990,178,79,600,387,40
3991,4,12,450,183,40
3992,16,97,291,217,40
11699,1,60,566,371,40
13678,86,71,780,316,40
13694,410,165,541,411,40
13975,18,42,277,136,40
15617,15,1,333,428,40
10601,0,78,360,409,92
11404,1,45,360,367,92
11556,0,0,358,480,92
11874,0,76,209,287,92
12061,0,0,220,167,92
12088,0,6,137,115,92
12142,0,17,249,250,92
12157,0,66,460,488,92
12187,0,154,345,480,92
12196,0,76,207,338,92
12366,10,9,563,437,92
12367,0,0,450,338,92
12368,0,145,478,640,92
12369,0,49,295,258,92
12370,88,16,564,480,92
12371,141,86,400,282,92
12372,56,16,735,505,92
12373,0,0,230,180,92
12374,0,0,256,186,92
12375,0,0,640,480,92
12376,0,0,425,350,92
12377,0,0,400,359,92
12378,0,0,300,212,92
12379,109,57,423,277,92
12380,3,76,328,298,92
12381,82,39,425,323,92
12382,0,38,500,333,92
12383,0,0,450,349,92
12384,217,65,500,306,92
12385,0,73,222,305,92
12386,0,0,500,375,92
12387,51,0,403,302,92
12388,109,25,434,293,92
12389,1,71,288,331,92
12390,21,22,463,335,92
12391,10,64,800,549,92
12392,0,0,498,373,92
12393,0,65,264,283,92
12394,133,17,437,261,92
12395,0,0,435,332,92
12396,45,6,436,312,92
12397,2,8,713,420,92
12398,17,81,273,281,92
12399,118,112,396,340,92
12400,5,6,390,300,92
12401,0,10,392,336,92
12402,63,0,543,473,92
12403,9,106,235,310,92
12404,96,0,691,450,92
12405,153,40,492,269,92
12406,20,142,278,362,92
12407,35,26,360,232,92
12408,49,60,315,245,92
12409,0,128,283,331,92
12410,0,0,500,375,92
12411,0,1,463,348,92
12412,50,8,406,368,92
12413,0,0,553,415,92
12414,0,5,400,300,92
12415,0,0,320,240,92
12416,55,48,783,540,92
12417,25,20,386,300,92
12418,71,35,431,322,92
12419,0,62,303,345,92
12420,0,0,280,280,92
12421,6,135,288,375,92
12422,0,35,298,320,92
12423,31,25,469,346,92
12424,0,0,500,375,92
12425,27,12,447,345,92
12426,0,0,800,676,92
12427,111,17,437,347,92
12428,0,0,490,375,92
12429,20,117,591,578,92
12430,0,8,632,480,92
12431,41,16,445,339,92
12432,0,1,500,372,92
12433,66,28,606,472,92
12434,1,0,800,768,92
12435,31,30,459,360,92
12436,28,66,390,367,92
12437,62,0,355,290,92
12438,51,12,437,261,92
12439,3,8,426,369,92
12440,0,73,277,218,92
12441,7,19,390,241,92
12442,69,21,472,294,92
12443,3,16,490,364,92
12444,0,0,500,372,92
12445,7,31,294,289,92
12446,226,136,420,297,92
12447,0,23,375,496,92
12448,0,106,506,600,92
12449,120,24,347,226,92
12449,124,25,349,229,92
12450,16,0,500,375,92
12451,13,0,536,367,92
12452,1,4,398,300,92
12453,121,83,655,585,92
12454,7,49,296,289,92
12454,7,49,296,289,92
12455,0,138,383,513,92
12456,36,92,383,360,92
12457,68,34,543,398,92
12458,0,0,588,460,92
12459,0,4,576,480,92
12460,0,26,796,590,92
12461,39,6,367,289,92
12462,125,3,645,425,92
12463,18,0,766,553,92
12464,77,87,315,313,92
12465,14,45,480,434,92
12466,0,0,400,299,92
12466,0,8,400,299,92
12467,4,2,302,231,92
12468,44,21,375,285,92
12469,0,31,500,388,92
12470,18,130,331,413,92
13700,132,48,476,354,92
13741,0,49,480,577,92
13809,18,64,224,224,92
14013,6,263,380,595,92
14017,0,266,306,600,92
14041,0,138,271,351,92
14052,225,211,571,373,92
14063,466,231,733,478,92
14064,26,158,380,426,92
14078,153,100,455,348,92
14087,406,188,715,341,92
14476,25,0,467,331,92
14685,0,61,335,317,92
14754,29,85,416,414,92
14780,124,0,396,252,92
14782,32,0,566,480,92
14783,44,8,568,480,92
14843,0,88,364,424,92
14850,210,130,554,442,92
14878,241,8,471,264,92
14907,304,144,640,368,92
14908,24,86,386,328,92
14989,208,126,476,428,92
14990,264,145,496,396,92
15038,17,61,413,468,92
15112,25,185,393,538,92
15149,56,210,336,470,92
15173,0,116,318,450,92
15376,47,52,405,352,92
15380,19,37,367,334,92
15381,27,86,351,349,92
15391,4,54,369,327,92
15411,23,108,347,407,92
15418,248,107,568,380,92
15552,0,148,318,450,92
15620,115,72,435,378,92
15665,246,32,578,342,92
15712,0,138,291,427,92
15734,20,70,377,385,92
15742,14,79,295,370,92
15756,11,7,357,310,92
15828,6,0,560,448,92
15907,22,147,290,360,92
16170,1,170,293,434,92
16271,16,145,308,388,92
16283,37,171,325,447,92
16601,251,87,596,393,92
16629,17,167,277,387,92
16679,32,210,288,448,92
16683,53,190,360,465,92
16689,16,165,312,449,92
16694,12,141,341,434,92
1400,0,0,200,217,15
1401,189,152,440,338,15
1402,0,0,800,600,15
1403,0,70,800,574,15
1404,9,0,567,384,15
1405,76,33,519,408,15
1406,87,0,441,282,15
1407,0,18,640,356,15
1408,0,54,500,333,15
1409,0,28,640,430,15
1410,0,0,358,338,15
1411,28,0,552,480,15
1412,0,0,800,600,15
1413,0,0,640,480,15
1414,57,0,315,420,15
1415,25,0,592,480,15
1416,113,8,702,470,15
1417,24,0,590,393,15
1418,57,0,602,480,15
1419,36,0,480,360,15
1420,37,0,424,299,15
1421,34,183,587,477,15
1422,0,0,433,292,15
1423,39,0,361,289,15
1424,39,40,348,289,15
1425,101,5,540,390,15
1426,0,0,632,438,15
1427,83,0,427,255,15
1428,0,0,640,480,15
1429,233,260,480,532,15
1430,50,79,450,337,15
1431,0,0,465,311,15
1432,8,18,320,240,15
